COD;DESC;COMP;LARG;PESO
40248;ISOPAINEL ZP150 - 1700MM;1,7;1,15;1,955
40249;ISOPAINEL ZP150 - 1800MM;1,8;1,15;2,07
40250;ISOPAINEL ZP150 - 1900MM;1,9;1,15;2,185
40251;ISOPAINEL ZP150 - 2000MM;2;1,15;2,3
40252;ISOPAINEL ZP150 - 2100MM;2,1;1,15;2,415
40253;ISOPAINEL ZP150 - 2200MM;2,2;1,15;2,53
40254;ISOPAINEL ZP150 - 2300MM;2,3;1,15;2,645
40255;ISOPAINEL ZP150 - 2400MM;2,4;1,15;2,76
40256;ISOPAINEL ZP150 - 2500MM;2,5;1,15;2,875
40257;ISOPAINEL ZP150 - 2600MM;2,6;1,15;2,99
40258;ISOPAINEL ZP150 - 2700MM;2,7;1,15;3,105
40259;ISOPAINEL ZP150 - 2800MM;2,8;1,15;3,22
40260;ISOPAINEL ZP150 - 2900MM;2,9;1,15;3,335
40261;ISOPAINEL ZP150 - 3000MM;3;1,15;3,45
40262;ISOPAINEL ZP150 - 3100MM;3,1;1,15;3,565
40263;ISOPAINEL ZP150 - 3200MM;3,2;1,15;3,68
40264;ISOPAINEL ZP150 - 3300MM;3,3;1,15;3,795
40265;ISOPAINEL ZP150 - 3400MM;3,4;1,15;3,91
40266;ISOPAINEL ZP150 - 3500MM;3,5;1,15;4,025
40267;ISOPAINEL ZP150 - 3600MM;3,6;1,15;4,14
40268;ISOPAINEL ZP150 - 3700MM;3,7;1,15;4,255
40269;ISOPAINEL ZP150 - 3800MM;3,8;1,15;4,37
40270;ISOPAINEL ZP150 - 3900MM;3,9;1,15;4,485
40271;ISOPAINEL ZP150 - 4000MM;4;1,15;4,6
40272;ISOPAINEL ZP150 - 4100MM;4,1;1,15;4,715
40273;ISOPAINEL ZP150 - 4200MM;4,2;1,15;4,83
40274;ISOPAINEL ZP150 - 4300MM;4,3;1,15;4,945
40275;ISOPAINEL ZP150 - 4400MM;4,4;1,15;5,06
40276;ISOPAINEL ZP150 - 4500MM;4,5;1,15;5,175
40277;ISOPAINEL ZP150 - 4600MM;4,6;1,15;5,29
40278;ISOPAINEL ZP150 - 4700MM;4,7;1,15;5,405
