EP118G;FP12S;1520;650;870;102;0.86
EP121G;BP18C;840;520;960;109;0.42
EP124G;MPS350;1170;750;900;120;0.79
EP125G;MPS250;580;680;900;80;0.35
EP127G;AR15;840;640;860;80;0.46
EP128G;AE10L;820;510;970;75;0.41
EP130G;AE15L;1150;590;1080;155;0.73
EP131G;MPS350;1170;750;900;120;0.79
EP132G;CS500;1830;830;1000;210;1.52
EP134G;AME05/15;730;530;670;61;0.26
EP135G;BP18CSS;840;520;960;109;0.42
EP136G;BP5RP;660;280;520;37;0.1
EP138G;AE05L;690;420;820;68;0.24
EP139G;MFP80;1040;330;440;28;0.15
EP145G;BP5RP;660;280;520;37;0.1
EP146G;CS500;1830;830;1000;210;1.52
EP147G;FP12S;1520;650;870;102;0.86
EP148G;BP12RP;820;390;720;50;0.23
EP161G;AE05L;690;420;820;68;0.24
EP162G;DC04;530;420;810;33;0.18
EP163G;AM25;930;610;700;55;0.4
EP233G;CS450;1740;740;1040;134;1.34
EP234G;CL390;680;630;890;70;0.38
EP235G;CL390;680;630;890;70;0.38
EP236G;CL390;680;630;890;70;0.38
EP237G;CS390;730;680;750;68;0.37
EQ424;RQ15;510;340;610;26;0.11
EQ425;RQ15;510;340;610;26;0.11
EQ469B;BK300I1 INOX;18;49;87;20;0.08
EP057I;5249;200;77;44.5;12;0.69
EP064I;2847;20;190;70;30;0.27
EP066I;2848;20;120;70;22;0.17
EP067I;2849;20;150;70;28;0.21
EP068I;2850;20;190;70;28;0.27
EP082I;3595;20;190;90;29;0.34
EP086I;3805;20;160;60;29;0.19
EP099I;2854;20;190;90;36;0.34
EP181I;1;200;75;65;75;0.98
EP190I;5394;230;150;85;29;2.93
EP196I;1058;180;110;50;33;0.99
EP198I;1049;180;110;50;33;0.99
EP200I;1052;180;90;50;25;0.81
EP250I;4913;40;150;70;30;0.42
EP251I;4914;40;180;70;30;0.5
EP256I;4915;40;180;70;35;0.5
BB001L;BEB STILO 110V;51.5;30.5;43.5;9.2;0.07
BB002L;BEB STILO 220V;51.5;30.5;43.5;9.2;0.07
BB004L;110V;51.5;30.5;43.5;10.8;0.07
BB005L;220V;51.5;30.5;43.5;10.8;0.07
BB006L;110V;37;38;40;4.9;0.06
BB007L;220V;37;38;40;4.9;0.06
BB031;BEB GAR TORRE;100;28.5;37.5;12.4;0.11
BB055;INOX 110V;108;34;35.5;14.9;0.13
BB105 L;BEB PRESSAO CONJ;108;70;32.5;18;0.25
BB106 L;BEB PRESSAO CON;108;70;32.5;18;0.25
BB530;BEB GAR TORRE;100;28.5;37.5;12.4;0.11
BB555 L;INOX 220V;108;34;35.5;14.9;0.13
EQ531M;FG1202 220V;11;31;50;2.4;4
EQ532M;FG1102 220V;10;31;29;2.4;2.4
EQ540M;GC1152 220V;46;36;40;7.8;0.07
EQ541M;DR2221 110V;33;42;33;3.4;0.05
EQ546M;MB2350;25;25;70;3.8;0.04
EQ548M;DR2251 110V;40;62;30;5.6;0.07
EQ549M;DR2222 220V;33;42;33;3.4;0.05
EQ550M;CH3135 GAS;69;148;32;83;0.33
EQ551M;GC1151 110V;46;36;40;7.8;0.07
EQ552M;DR2252 220V;40;62;30;5.6;0.07
EQ553M;DR1011 110V;23;23;32;1.8;0.02
EQ554M;MB2150;21;21;54;2.4;0.02
EQ555M;CF1201 110V;27;27;34;1.6;0.02
EQ556M;CF1691 110V;30;30;44;3.4;0.04
EQ559M;MA1251 110V;69;103;21;19.4;0.15
EQ560M;MA2502 220V;69;105;34;28;0.25
EQ561M;MA1601 110V;35;57;17;3.2;0.03
EQ562M;CF3101 110V;37;37;87;10;0.12
EQ563M;CF3102 220V;37;37;87;10;0.12
EQ564M;CF2101 110V;37;37;87;7;0.12
EQ565M;CF2102 220V;37;37;87;7;0.12
EQ566M;ES1292;42;42;33;3.2;0.06
EQ567M;ES1291;42;42;33;3.2;0.06
EQ570M;CF3601 110V;37;37;66;5.8;0.09
EQ571M;CF3602 220V;37;37;66;5.8;0.09
EQ572M;MA1252 220V;69;103;21;19.4;0.15
EQ573M;MA2501 110V;69;105;34;28;0.25
EQ574M;CF3202 220V;37;37;44;4.4;0.06
EQ575M;MA1602 220V;35;57;17;3.2;0.03
EQ576M;DR2121 110V;20;36;23;2.2;0.02
EQ577M;CF1202 220V;27;27;34;1.6;0.02
EQ578M;CF2801 110V;37;37;75;6.8;0.1
EQ579M;CF4422 220V;41;45;56;12.8;0.1
EQ201GL;GLP250BIV;0.53;0.59;0.51;27;0.16
EQ202GL;GLP275BIV;0.53;0.63;0.56;35;0.19
EQ203GL;GLP300BIV;0.56;0.66;0.6;35;0.22
EQ204GL;GLP330BIV;0.56;0.66;0.6;36;0.22
EQ340GL;TLX40TSTRIF220V;2.05;1.2;0.95;193;2.34
EQ341GL;BRT40TRIF220V;2.05;1.15;0.93;150;2.19
EQ342GL;BRT40MONO220V;2.05;1.15;0.93;150;2.19
EQ690GL;AXT30IBIV;0.6;0.66;0.68;43;0.27
BB161V;RBI10;1610;580;800;62.9;0.75
BB162V;RBI10;1610;580;800;62.9;0.75
BB169V;RV116;720;240;520;17.4;0.09
BB170V;RV116;720;240;520;17.4;0.09
BB171V;RV216;730;450;520;25.8;0.17
BB172V;RV216;730;450;520;25.8;0.17
EP001V;FCDT5;1050;1110;1400;199;1.63
EP002V;FVT5D;940;1070;1330;182.6;1.34
EP003V;FCDET8;1980;1160;1460;263;3.35
EP004V;FCDT10;1970;1110;1460;288.6;3.19
EP005V;FCDEMT5 ;1050;1110;1400;187;1.63
EP006V;FCDET5 ;1040;1100;1380;187;1.58
EP007V;FCDET10 ;1990;1130;1500;284;3.37
EP052V;AC40T;2220;830;1920;247;3.54
EP053V;AC20T;2220;840;1115;169.9;2.08
EP055;FCDT8;1980;1160;1450;272.5;3.33
EP210V;VAEMS252;1120;610;1000;169;0.68
EP211V;ARSV25;890;850;570;106.5;0.43
EP212V;ASRBV05;780;710;700;56;0.39
EP213V;ASRBSV25;870;720;830;82.4;0.52
EP214V;CLPSV39;670;820;840;88;0.46
EP215V;MPSV35;1280;620;760;101;0.6
EP218V;VBPS12;830;480;780;47;0.31
EP220V;MPSV50NR ;1280;760;730;109;0.71
EP222V;MTV15;1190;710;660;59;0.56
EP223V;VMPS80;860;450;510;27;0.2
EQ061;EMCH;330;530;910;56;0.16
EQ063;E2PD1;320;820;580;34;0.15
EQ065V;E2PD2;330;820;590;34;0.16
EQ067V;FFV20;1850;1000;590;112.9;1.09
EQ068V;E6FCD3;340;1550;930;116;0.49
EQ069V;EI6F;320;1160;930;85;0.35
EQ070V;MI4;370;1300;1340;101;0.64
EQ071V;E3PD1;320;1160;580;45;0.22
EQ072;BRFP;700;780;860;52.6;0.47
EQ072V;E4D2;320;850;950;68;0.26
EQ073;FIE PT INOX;540;650;880;22.4;0.31
EQ073V;EI4;310;850;940;49;0.25
EQ074;FIM PT INOX;510;660;880;29.7;0.3
EQ074V;E3PD2;320;1160;580;45;0.22
EQ075V;FIE PT VIDRO;540;650;880;22.4;0.31
