70.00;58.00;115.50;11.2
36.50;29.00;61.50;2.2
179.50;86.50;184.50;38.00
190.50;85.50;260.50;49.5
212.00;137.00;61.00;178.00
212.00;121.00;61.00;158.00
212.00;202.00;61.00;248.00
212.00;178.00;61.00;225.00
212.00;234.50;61.00;305.00
212.00;302.00;61.00;330.00
114.00;96.00;65.00;62.00
114.00;123.00;675.00;85.00
114.00;178.00;675.00;125.00
106.00;196.00;62.50;132.00
189.50;52.00;55.00;64.00
188.50;65.50;75.00;98.00
198.50;80.00;72.00;138.00
188.50;200.00;75.00;225.00
188.50;52.00;55.00;64.00
188.50;65.50;75.00;97.00
188.50;133.00;75.00;176.00
99.50;203.50;84.00;140.00
232.00;191.00;85.00;310.00
195.00;125.00;62.50;147.00
195.00;181.50;62.50;203.00
198.50;80.00;72.00;138.00
114.00;134.00;50.00;59.00
132.00;197.50;75.00;180.00
132.00;197.50;75.00;192.00
114.00;121.00;65.00;71.00
114.00;176.00;65.00;104.00
230.00;197.50;75.00;240.00
114.00;123.00;675.00;103.00
114.00;178.00;675.00;142.00
36.00;37.00;77.00;28.00
36.00;61.00;78.00;20.00
14.00;29.00;51.00;0.00
37.00;79.00;85.00;62.00
17.00;29.00;51.00;0.00
37.00;79.00;109.00;79.00
20.00;29.00;51.00;0.00
36.00;37.00;77.00;19.00
36.00;61.00;78.00;42.00
14.00;29.00;51.00;0.00
37.00;79.00;85.00;56.00
17.00;29.00;51.00;0.00
37.00;79.00;109.00;73.00
20.00;29.00;51.00;0.00
30.00;44.00;54.00;16.00
31.00;59.00;63.00;22.00
37.00;50.00;62.00;34.00
31.00;59.00;75.00;32.00
31.00;68.00;100.00;48.00
31.00;68.00;110.00;58.00
37.00;70.00;110.00;71.00
23.00;39.00;42.00;16.00
25.00;39.00;42.00;11.00
31.00;22.00;37.00;6.00
36.00;23.00;37.00;6.00
39.00;26.00;37.00;9.00
31.00;22.00;37.00;6.00
39.00;26.00;37.00;6.00
36.00;51.00;54.00;10.00
29.00;28.00;51.00;5.00
29.00;36.00;51.00;6.00
29.00;46.00;52.00;8.00
30.00;52.00;63.00;9.00
30.00;52.00;63.00;10.00
33.00;32.00;56.00;5.00
100.00;49.00;61.00;20.00
100.00;49.00;61.00;21.00
52.00;50.00;61.00;14.00
52.00;50.00;61.00;15.00
36.00;27.00;50.00;6.00
37.00;37.00;51.00;6.00
36.00;45.00;51.00;9.00
36.00;51.00;62.00;11.00
36.00;51.00;62.00;12.00
24.00;51.00;54.00;17.00
24.00;57.00;75.00;27.00
27.00;63.00;97.00;38.00
27.00;63.00;115.00;48.00
28.00;69.00;147.00;72.00
28.00;69.00;168.00;81.00
36.00;30.00;55.00;6.00
36.00;40.00;56.00;7.00
35.00;50.00;55.00;11.00
36.00;51.00;62.00;14.00
36.00;49.00;60.00;11.00
36.00;49.00;60.00;11.00
36.00;61.00;89.00;0.00
36.00;62.00;127.00;0.00
36.00;91.00;99.00;0.00
36.00;99.00;130.00;0.00
170.00;54.00;115.00;96.00
170.00;54.00;115.00;105.00
46.00;77.00;75.00;32.00
195.50;106.00;102.00;221.00
194.00;106.00;101.00;269.00
190.50;105.50;101.00;240.00
43.00;26.00;52.00;12.00
42.00;26.00;52.00;13.00
36.00;25.00;42.00;10.00
36.00;25.00;42.00;10.00
41.00;26.00;42.00;10.00
47.00;26.00;42.00;11.00
54.00;26.00;42.00;11.00
39.00;26.00;37.00;10.00
42.00;26.00;53.00;11.00
25.00;39.00;42.00;12.00
18.00;49.00;95.00;32.00
18.00;49.00;95.00;18.00
18.00;49.00;95.00;33.00
21.00;49.00;54.00;18.00
22.00;48.00;80.00;20.00
