LB021G         ;CONG VERT 575 PC GTPC 110V C/ GRADES INTERNAS GELOPAR                 ;28;1;GELOPAR - REF. PARANAENSE LTDA          ;GTPC575             
LB037 G        ;CERVEJEIRA  PV GRBA 120PR 110V GELOPAR                                ;28;1;GELOPAR - REF. PARANAENSE LTDA          ;GRBA120PR           
LB041 G        ;CERVEJEIRA PC GRBA 330 110V GELOPAR                                   ;28;1;GELOPAR - REF. PARANAENSE LTDA          ;GRBA330             
LB043G         ;CERVEJEIRA PC GRBA 230 110V GELOPAR                                   ;28;1;GELOPAR - REF. PARANAENSE LTDA          ;GRBA230             
LB044G         ;CERVEJEIRA PVP GRBA 120 110V GELOPAR                                  ;28;1;GELOPAR - REF. PARANAENSE LTDA          ;GRBA120PVP          
LB045G         ;CERVEJEIRA PC GRBA330B 110V GELOPAR                                   ;28;1;GELOPAR - REF. PARANAENSE LTDA          ;GRBA330B            
LB046G         ;CERVEJEIRA PC GRBA 230 220V GELOPAR                                   ;28;1;GELOPAR - REF. PARANAENSE LTDA          ;GRBA230             
LB058G         ;CERVEJEIRA GRBD 570 110V BIPAR;28;1;GELOPAR - REF. PARANAENSE LTDA          ;GRBD570             
LB059G         ;CERVEJEIRA GRBD 570 220V BIPAR;28;1;GELOPAR - REF. PARANAENSE LTDA          ;GRBD570             
LB143G         ;CERVEJEIRA PC GRBA 120B 110V GELOPAR                                  ;28;1;GELOPAR - REF. PARANAENSE LTDA          ;GRBA120B            
LB144G         ;CERVEJEIRA PC GRBA 450B 110V GELOPAR                                  ;28;1;GELOPAR - REF. PARANAENSE LTDA          ;GRBA450B            
LB213G         ;CERVEJEIRA PC GRBA 120 110V GELOPAR                                   ;28;1;GELOPAR - REF. PARANAENSE LTDA          ;GRBA 120            
LB214G         ;CERVEJEIRA PC GRBA 120 220V GELOPAR                                   ;28;1;GELOPAR - REF. PARANAENSE LTDA          ;GRBA 120            
LB215G         ;VISA COOLER GPTU230 220V GELOPAR                                      ;28;1;GELOPAR - REF. PARANAENSE LTDA          ;GPTU 230            
LB216G         ;VISA COOLER GPTU230 110V                                              ;28;1;GELOPAR - REF. PARANAENSE LTDA          ;GPTU 230            
EP002          ;FORNO TURBO 4 FTT80E EL 40X60 220V MONO TEDESCO                       ;32;1;TEDESCO EQUIP. P/ GASTRONOMIA LTDA      ;FTT080E             
EP003T         ;FORNO TURBO 4 FTT80E EL 40X60 220V TRIF TEDESCO                       ;32;1;TEDESCO EQUIP. P/ GASTRONOMIA LTDA      ;FTT080E             
EQ025T         ;CHAPA BIFETEIRA INTEIRICA GAS BGT42 TEDESCO                           ;32;1;TEDESCO EQUIP. P/ GASTRONOMIA LTDA      ;BGT42               
EQ026T         ;CHAPA BIFETEIRA INTEIRICA GAS BGT62                                   ;32;1;TEDESCO EQUIP. P/ GASTRONOMIA LTDA      ;BGT62               
EQ027T         ;CHAPA BIFETEIRA INTEIRICA GAS BGT82 TEDESCO                           ;32;1;TEDESCO EQUIP. P/ GASTRONOMIA LTDA      ;BGT82               
EQ028T         ;CHAPA BIFETEIRA INTEIRICA GAS BGT102 TEDESCO                          ;32;1;TEDESCO EQUIP. P/ GASTRONOMIA LTDA      ;BGT102              
EQ029T         ;CHAPA BIFETEIRA INTEIRICA GAS BGT130 TEDESCO                          ;32;1;TEDESCO EQUIP. P/ GASTRONOMIA LTDA      ;BGT130              
EQ030T         ;CARRO TERMICO 8C 1/2 CTLI-08QL CROMADO 110V TEDESCO                   ;32;1;TEDESCO EQUIP. P/ GASTRONOMIA LTDA      ;CTLI-08 GL          
EQ031T         ;CARRO SALADA 6C 1/2 CTLI-06S CROMADO 110V TEDESCO                     ;32;1;TEDESCO EQUIP. P/ GASTRONOMIA LTDA      ;CTLI-06 S           
EQ180T         ;CESTO DUPLO P/FAO 45 E 60 TEDESCO                                     ;32;1;TEDESCO EQUIP. P/ GASTRONOMIA LTDA      ;203436
EQ640T         ;SANDUICHEIRA CONJ GAS C/GAVETA SC92G TEDESCO                          ;32;1;TEDESCO EQUIP. P/ GASTRONOMIA LTDA      ;5514
EQ040S         ;BATEDOR MILK SHAKE BMSN NR12 110V                                     ;46;1;METALURGICA SIEMSEM LTDA                ;44952
EQ041S         ;BATEDOR MILK SHAKE BMSN NR12 220V                                     ;46;1;METALURGICA SIEMSEM LTDA                ;44073,6
EQ042S         ;BATEDOR MILK SHAKE BMS3 NR12 220V SIEMSEN                             ;46;1;METALURGICA SIEMSEM LTDA                ;45200,9
EQ092S         ;EXTRATOR SUCO ESB SUPER 0,5CV BIV INMETRO                             ;46;1;METALURGICA SIEMSEM LTDA                ;46660,3
EQ245S         ;LIQUID 1,5L LT1,5N TRANSP 220V 800W NR12                              ;46;1;METALURGICA SIEMSEM LTDA                ;47425,8
EQ247S         ;LIQUID 1,5L LI1,5N INOX 800W 110V INMETRO                             ;46;1;METALURGICA SIEMSEM LTDA                ;47432
EQ248S         ;LIQUID 1,5L LI1,5N INOX 800W 220V INM                                 ;46;1;METALURGICA SIEMSEM LTDA                ;47433,9
EQ260S         ;EXTRATOR SUCO 0,25CV 110V INMETRO EXB SIEMSEN                         ;46;1;METALURGICA SIEMSEM LTDA                ;46352,3
EQ261S         ;LIQUID 4L LS04MB 0,5CV NR12 220V                                      ;46;1;METALURGICA SIEMSEM LTDA                ;47980,2
EQ262S         ;LIQUID 4L LS04MB 0,5CV NR12 110V                                      ;46;1;METALURGICA SIEMSEM LTDA                ;47979,9
EQ264S         ;EXTRATOR SUCO 0,25CV 220V INMETRO EXB SIEMSEN                         ;46;1;METALURGICA SIEMSEM LTDA                ;46344,2
EQ265S         ;LIQUID 2L TA02 ALTA ROTACAO INMETRO 110V SIENSEM                      ;46;1;METALURGICA SIEMSEM LTDA                ;47497,5
EQ267S         ;FRITAD EL A/O 24L FSCN INOX 220V NR12 SIEMSEN                         ;46;1;METALURGICA SIEMSEM LTDA                ;47976,4
EQ268S         ;LIQUID 6L LS06MB 0,5CV NR12 110V SIEMSEN                              ;46;1;METALURGICA SIEMSEM LTDA                ;47981
EQ269S         ;LIQUID 8L LS08MBR-N 0,5CV 110V NR12                                   ;46;1;METALURGICA SIEMSEM LTDA                ;47983,7
EQ273S         ;LIQUID BASC 25L LAR25LMB-N 1CV 110V NR12                              ;46;1;METALURGICA SIEMSEM LTDA                ;47449,5
EQ274S         ;LIQUID BASC 15L LAR15LMB-N 1CV;46;1;METALURGICA SIEMSEM LTDA                ;47447,9
EQ278          ;LIQUID 2L TA02 ALTA ROTACAO 220V INM                                  ;46;1;METALURGICA SIEMSEM LTDA                ;47498,3
EQ278S         ;LIQUID 6L LS06MB 0,5CV NR12 22;46;1;METALURGICA SIEMSEM LTDA                ;47982,9
EQ281S         ;LIQUID BASC 15L LB15MB-N 1CV NR12 110V                                ;46;1;METALURGICA SIEMSEM LTDA                ;53419,6
EQ283S         ;PREPARADOR ALIM PA14 1CV 110V NR12 SIEMSEN                            ;46;1;METALURGICA SIEMSEM LTDA                ;47101,1
EQ284S         ;LIQUID BASC 15L LB15MB 1CV NR12 220V SIEMSEN                          ;46;1;METALURGICA SIEMSEM LTDA                ;53418,8
EQ285S         ;FRITAD EL A/O 24L FCN 5000W 220V NR12                                 ;46;1;METALURGICA SIEMSEM LTDA                ;901/20              
EQ287S         ;PREPARADOR ALIM PAIE-N 0,5CV INOX NR12 220V                           ;46;1;METALURGICA SIEMSEM LTDA                ;46555
EQ289S         ;PREPARADOR ALIM INOX PA7LE-N 0,33CV 110V NR12 SIEM                    ;46;1;METALURGICA SIEMSEM LTDA                ;46790,1
EQ290S         ;LIQUID 10L LS10MB 110V NR12 INM 0,5CV                                 ;46;1;METALURGICA SIEMSEM LTDA                ;47985,3
EQ291S         ;LIQUID 10L LS10MB 220V NR12 IN;46;1;METALURGICA SIEMSEM LTDA                ;47986,1
EQ292S         ;PREPARADOR ALIM INOX PA7LE-N 0,33CV 220V NR12 SIEM                    ;46;1;METALURGICA SIEMSEM LTDA                ;46791
EQ294S         ;PREPARADOR ALIM INOX PA7SE-N 0,33CV 110V NR12 SIEM                    ;46;1;METALURGICA SIEMSEM LTDA                ;46787,1
EQ295S         ;PREPARADOR ALIM INOX PA7SE-N 0,33CV 220V NR12 SIEM                    ;46;1;METALURGICA SIEMSEM LTDA                ;46770,7
EQ296S         ;LIQUID 1,5L TRANSP 0,5CV NR12 110V SILENZIO SIEMSEN                   ;46;1;METALURGICA SIEMSEM LTDA                ;47436,3
EQ297S         ;LIQUID 1,5L TRANSP 0,5CV NR12 220V SILENZIO SIEMSEN                   ;46;1;METALURGICA SIEMSEM LTDA                ;47437,1
EQ298S         ;LIQUID 1,5L VIDRO 0,5CV NR12 110V SILENZIO                            ;46;1;METALURGICA SIEMSEM LTDA                ;47438
EQ299S         ;COPO COMPLETO  LI 1,5L                                                ;46;1;METALURGICA SIEMSEM LTDA                ;317730
EQ323S         ;EXTRATOR SUCO ESB SUPER 0,5CV 110V INMETRO SIEMSEN                    ;46;1;METALURGICA SIEMSEM LTDA                ;46654,9
EQ372S         ;DESCASCADOR INOX DB06-N 110V N;46;1;METALURGICA SIEMSEM LTDA                ;47475,4
EQ373S         ;DESCASCADOR INOX DB06-N 220V NR12                                     ;46;1;METALURGICA SIEMSEM LTDA                ;47476,2
