VCEDSS12;45.00;122.00;44.00;31.14;Edanca
VCEDSS6;45.00;60.00;44.00;20.05;Edanca
VCEDSS8;45.00;82.00;44.00;23.75;Edanca
VCESS3;45.00;60.00;44.00;17.10;Edanca
VCESS4;45.00;82.00;44.00;19.81;Edanca
VCESS5;45.00;97.00;44.00;22.53;Edanca
VCESS6;45.00;122.00;44.00;25.23;Edanca
VCP 47 ;39.00;48.00;40.50;9.60;Edanca
VCP 61 ;38.50;62.00;40.50;11.90;Edanca
VCP 76 ;38.50;76.50;40.50;14.96;Edanca
VCP 90;38.50;91.00;40.50;17.74;Edanca
VCPD 47 ;39.00;48.00;40.50;9.60;Edanca
VCPD 61 ;38.50;62.00;40.50;11.90;Edanca
VCPD 76 ;38.50;76.50;40.50;15.33;Edanca
VCPD 90 ;38.50;91.00;40.50;18.74;Edanca
VCT4;63.00;68.00;52.00;24.74;Edanca
VCT-65 ;63.00;68.00;52.00;24.74;Edanca
VCT8;63.00;68.00;52.00;29.66;Edanca
VCTD-65;63.00;52.50;50.00;29.66;Edanca
VCTSS4;63.00;68.00;52.00;24.74;Edanca
VCTSS8;63.00;52.50;50.00;29.66;Edanca
VSS47;39.00;48.00;40.50;13.58;Edanca
VSS61;38.50;62.00;40.50;17.15;Edanca
VSS76;38.50;76.50;40.50;20.50;Edanca
VSS90;38.50;91.00;40.50;23.52;Edanca
VVC 6;84.00;52.50;50.00;22.06;Edanca
VVC 9;63.00;68.00;52.00;28.90;Edanca
VVC-6 ;84.00;52.50;50.00;22.06;Edanca
VVC-9;84.00;52.50;50.00;28.90;Edanca
VVCSS-9;63.00;68.00;52.00;28.40;Edanca
VVCT 4;63.00;68.00;52.00;24.74;Edanca
VVCT 8 ;23.00;49.00;46.00;29.66;Edanca
ACFM 1450;225.00;192.00;78.20;231.00;fricon
ACFM 2375;225.00;314.50;78.20;358.00;fricon
HCEB 216;93.00;84.00;77.70;48.00;fricon
HCEB 311;93.00;112.50;77.70;58.00;fricon
HCEB 411;93.00;138.00;76.20;66.00;fricon
HCEB 503;93.00;162.00;75.50;74.00;fricon
HCED 216;96.00;83.00;71.50;47.00;fricon
HCED 311;96.00;108.00;72.00;55.00;fricon
HCED 411;96.00;134.00;71.00;66.00;fricon
HCED 503;96.00;158.00;71.00;73.00;fricon
ICED 1163;100.50;317.00;101.50;0.00;fricon
ICED 503;93.00;162.00;75.50;0.00;fricon
ICED 568;100.50;208.20;95.00;130.00;fricon
VCED 565 PVR;207.00;84.00;84.50;121.00;fricon
VCED 569 PCC;207.00;70.00;84.50;101.00;fricon
VCFC 284 PCH;186.50;55.70;69.00;78.00;fricon
VCFC 284 PVR;186.50;55.70;69.00;81.00;fricon
VCFC 431 PCH;206.00;700.00;69.00;96.00;fricon
VCFC 431 PVR;206.00;70.00;69.00;96.00;fricon
VCFC 565 PCH;207.00;70.00;84.50;108.00;fricon
VCFC 565 PVR;207.00;70.00;84.50;122.00;fricon
VCFM 402;189.00;70.00;84.50;99.00;fricon
VCFM 501;188.00;70.00;84.50;108.00;fricon
VCFM 565;207.00;70.00;84.50;114.00;fricon
VCV-1C;204.00;70.00;84.50;139.00;fricon
AE 05L;79.00;50.00;85.00;68.00;gpaniz etc
AE 10L;84.00;59.00;93.00;75.00;gpaniz etc
AE 15 L MONOF;59.00;61.00;108.00;152.00;gpaniz etc
AE 15L TRIF;59.00;61.00;108.00;155.00;gpaniz etc
AE 25L MONOF;123.00;68.00;117.00;190.00;gpaniz etc
AE 25L MONOF C/I;123.00;68.00;117.00;190.00;gpaniz etc
AE 25L TRIF;123.00;68.00;117.00;190.00;gpaniz etc
AE 40L MONOF;142.00;131.00;73.00;299.00;gpaniz etc
AE 40L TRIF;142.00;131.00;73.00;300.00;gpaniz etc
AE 60L TRIF;153.00;82.00;140.00;313.00;gpaniz etc
AE 80L TRIF;140.00;95.00;155.00;583.00;gpaniz etc
AF 10 N;98.50;65.00;130.00;64.00;gpaniz etc
AF 20 N;165.00;65.00;130.00;92.00;gpaniz etc
AF 30 N;185.00;65.00;130.00;120.00;gpaniz etc
AM 05;62.00;62.00;80.50;52.00;gpaniz etc
AM 05/15;82.00;59.00;102.00;76.00;gpaniz etc
AM 15;98.00;72.00;62.00;50.00;gpaniz etc
AM 25;104.00;78.00;66.00;55.00;gpaniz etc
AMC 18;64.00;30.50;55.00;26.00;gpaniz etc
AR 15;93.00;66.00;85.00;80.00;gpaniz etc
AR 25 MONOF;83.00;79.50;101.00;150.00;gpaniz etc
AR 25 TRIF;83.00;79.50;101.00;150.00;gpaniz etc
ARV 110;176.00;116.00;125.00;198.00;gpaniz etc
ARV 150;212.00;116.00;125.00;230.00;gpaniz etc
ARV 75;161.00;116.00;125.00;175.00;gpaniz etc
BA 1400/600;10.00;141.00;64.00;22.00;gpaniz etc
BA 1400/900;10.00;161.00;64.00;31.00;gpaniz etc
BA 1600/600;10.00;161.00;64.00;24.00;gpaniz etc
BA 1900/900;10.00;192.00;95.00;37.00;gpaniz etc
BA 1900/900E;10.00;192.00;96.00;46.00;gpaniz etc
BP 05RP;49.00;40.00;56.00;37.00;gpaniz etc
BP 05SL;54.50;35.00;59.00;45.00;gpaniz etc
BP 12RP;82.50;43.50;65.50;50.00;gpaniz etc
BP 12SL;66.00;41.50;79.50;58.00;gpaniz etc
BP 18 C /I;96.00;50.00;83.00;109.00;gpaniz etc
BP 18C;96.00;50.00;83.00;109.00;gpaniz etc
BP 18SL;132.00;76.50;105.00;128.00;gpaniz etc
BP 30 SL;140.00;59.00;92.00;130.00;gpaniz etc
BP 38C;127.00;66.00;85.00;208.00;gpaniz etc
BTE 06 SL;140.00;75.00;54.00;65.00;gpaniz etc
BTE 06 ST;140.00;75.00;54.00;65.00;gpaniz etc
BTE 08 SL;168.00;75.00;54.00;75.00;gpaniz etc
BTE 08 ST;168.00;75.00;54.00;75.00;gpaniz etc
BTE 10 FLY;201.00;125.00;87.00;200.00;gpaniz etc
BTE 10 SL;201.00;75.00;54.00;85.00;gpaniz etc
BTE 10 ST;201.00;75.00;54.00;85.00;gpaniz etc
BTE 10GFLY;201.00;125.00;97.00;260.00;gpaniz etc
BTE 12 FLY;234.00;125.00;87.00;220.00;gpaniz etc
BTE 12GFLY;234.00;125.00;97.00;280.00;gpaniz etc
BTE 8 FLY;168.00;125.00;87.00;180.00;gpaniz etc
BTE 8GFLY;168.00;125.00;97.00;240.00;gpaniz etc
BTEX 10;201.00;75.00;54.00;95.00;gpaniz etc
BTEX 6;140.00;75.00;54.00;75.00;gpaniz etc
BTEX 8;168.00;75.00;54.00;85.00;gpaniz etc
BTME 02SL;67.00;50.00;40.00;22.00;gpaniz etc
BTME 02ST;67.00;50.00;40.00;22.00;gpaniz etc
BTME 03SL;100.00;50.00;40.00;28.00;gpaniz etc
BTME 03ST;100.00;50.00;40.00;28.00;gpaniz etc
BTR 8 FLY;173.00;112.00;115.00;210.00;gpaniz etc
BTR 8GFLY;173.00;122.00;115.00;250.00;gpaniz etc
BTX 06 SL;140.00;75.00;54.00;65.00;gpaniz etc
BTX 06 ST;140.00;75.00;54.00;65.00;gpaniz etc
BTX 08 SL;168.00;75.00;54.00;75.00;gpaniz etc
BTX 08 ST;168.00;75.00;54.00;75.00;gpaniz etc
BTX 10 SL;201.00;75.00;54.00;85.00;gpaniz etc
BTX 10 ST;201.00;75.00;54.00;85.00;gpaniz etc
CBE 1000 L;30.00;67.00;113.00;64.00;gpaniz etc
CBE 1200 L;30.00;67.00;134.00;78.00;gpaniz etc
CBE 1500 L;30.00;67.00;166.00;107.00;gpaniz etc
CBE 450 L;28.00;60.00;55.00;27.00;gpaniz etc
CBE 600 L;28.00;60.00;72.00;35.00;gpaniz etc
CBE 800 L;28.00;67.00;93.00;48.00;gpaniz etc
CBG 1000;30.00;67.00;113.00;66.00;gpaniz etc
CBG 1000 L;30.00;67.00;113.00;62.00;gpaniz etc
CBG 1000C;30.00;67.00;113.00;40.00;gpaniz etc
CBG 1200;30.00;67.00;134.00;78.00;gpaniz etc
